budget,condition,accuracy,correct_per_tool_call,mean_tool_calls,first_tool_hit_rate,n
0,closed_book,0.0357,0.0,0.0,0.0,28
1,no_memory_search,0.0,0.0,1.0,0.0,28
1,policy_memory,0.75,0.75,1.0,0.75,28
1,random_memory,0.2857,0.2857,1.0,0.2857,28
3,no_memory_search,0.2857,0.0952,3.0,0.0,28
3,policy_memory,0.75,0.6562,1.143,0.75,28
3,random_memory,0.5,0.2745,1.821,0.2857,28
5,no_memory_search,0.4286,0.0857,5.0,0.0,28
5,policy_memory,0.75,0.6176,1.214,0.75,28
5,random_memory,0.5,0.2222,2.25,0.2857,28
10,no_memory_search,0.2143,0.0214,10.0,0.0,28
10,policy_memory,0.75,0.6176,1.214,0.75,28
10,random_memory,0.4643,0.1566,2.964,0.2857,28
