item_id,condition,budget,correct,abstained,tool_calls,cost,latency,evidence_score,first_tool_hit,false_stop,over_search,under_search,stale_error,found_hit,cluster_key,attempt_reward,authority_ok,contradiction,support_found,regime
syn-001,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,0.0,0,0,0,route_miss
syn-002,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,0.0,0,0,0,route_miss
syn-005,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,0.0,0,0,0,route_miss
syn-008,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,0.0,0,0,0,route_miss
syn-011,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive,0.0,0,0,0,route_miss
syn-014,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive,0.0,0,0,0,route_miss
syn-016,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,freshness_sensitive,0.0,0,0,0,route_miss
syn-019,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive,0.0,0,0,0,route_miss
syn-021,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive,0.0,0,0,0,route_miss
syn-022,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive,0.0,0,0,0,route_miss
syn-023,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive,0.0,0,0,0,route_miss
syn-026,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive,0.0,0,0,0,route_miss
syn-030,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive,0.0,0,0,0,route_miss
syn-034,closed_book,0,1,0,0,0,0,0.0,0,0,0,0,0,0,answer_shape_constrained,1.0,0,0,0,support_answer_mismatch
syn-035,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,answer_shape_constrained,0.0,0,0,0,route_miss
syn-037,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,answer_shape_constrained,0.0,0,0,0,route_miss
syn-039,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,answer_shape_constrained,0.0,0,0,0,route_miss
syn-040,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,answer_shape_constrained,0.0,0,0,0,route_miss
syn-047,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,answer_shape_constrained,0.0,0,0,0,route_miss
syn-050,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,generic,0.0,0,0,0,route_miss
syn-051,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,generic,0.0,0,0,0,route_miss
syn-052,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,generic,0.0,0,0,0,route_miss
syn-054,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,generic,0.0,0,0,0,route_miss
syn-056,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,generic,0.0,0,0,0,route_miss
syn-058,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,evidence_sparse,0.0,0,0,0,route_miss
syn-059,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,evidence_sparse,0.0,0,0,0,route_miss
syn-062,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive+answer_shape_constrained,0.0,0,0,0,route_miss
syn-063,closed_book,0,0,1,0,0,0,0.0,0,0,0,0,0,0,source_authority_sensitive+answer_shape_constrained,0.0,0,0,0,route_miss
syn-001,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,-0.002,0,0,0,route_miss
syn-002,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,-0.002,0,0,0,route_miss
syn-005,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,-0.002,0,0,0,route_miss
syn-008,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,-0.002,0,0,0,route_miss
syn-011,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive,-0.002,0,0,0,route_miss
syn-014,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive,-0.002,0,0,0,route_miss
syn-016,no_memory_search,1,0,1,1,0.001,0.0,0.0,0,0,0,0,0,0,freshness_sensitive,-0.002,0,0,0,route_miss
syn-019,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive,0.243,0,0,0,route_miss
syn-021,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive,0.243,0,0,0,route_miss
syn-022,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive,0.243,0,0,0,route_miss
syn-023,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive,0.243,0,0,0,route_miss
syn-026,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive,0.243,0,0,0,route_miss
syn-030,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive,0.243,0,0,0,route_miss
syn-034,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,answer_shape_constrained,0.243,0,0,0,route_miss
syn-035,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,answer_shape_constrained,0.243,0,0,0,route_miss
syn-037,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,answer_shape_constrained,0.243,0,0,0,route_miss
syn-039,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,answer_shape_constrained,0.243,0,0,0,route_miss
syn-040,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,answer_shape_constrained,0.243,0,0,0,route_miss
syn-047,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,answer_shape_constrained,0.243,0,0,0,route_miss
syn-050,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,generic,0.243,0,0,0,route_miss
syn-051,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,generic,0.243,0,0,0,route_miss
syn-052,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,generic,0.243,0,0,0,route_miss
syn-054,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,generic,0.243,0,0,0,route_miss
syn-056,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,generic,0.243,0,0,0,route_miss
syn-058,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,evidence_sparse,0.243,0,0,0,route_miss
syn-059,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,evidence_sparse,0.243,0,0,0,route_miss
syn-062,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive+answer_shape_constrained,0.243,0,0,0,route_miss
syn-063,no_memory_search,1,0,1,1,0.001,0.0,0.15,0,0,0,0,0,0,source_authority_sensitive+answer_shape_constrained,0.243,0,0,0,route_miss
syn-001,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,2.196,1,0,1,ok
syn-002,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,2.196,1,0,1,ok
syn-005,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,2.196,1,0,1,ok
syn-008,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,2.196,1,0,1,ok
syn-011,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive,2.196,1,0,1,ok
syn-014,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive,2.196,1,0,1,ok
syn-016,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,freshness_sensitive,2.196,1,0,1,ok
syn-019,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,source_authority_sensitive,2.196,1,0,1,ok
syn-021,policy_memory,1,1,0,1,0.002,0.0,1.0,1,0,0,0,0,1,source_authority_sensitive,2.196,1,0,1,ok
