signature_cluster,arm,mean_reward,count,w,failed_calls
answer_shape_constrained,freshness_terms,0.7517,40,27.715,0
evidence_sparse,freshness_terms,0.255,4,3.882,0
freshness_sensitive,freshness_terms,0.0795,17,14.534,0
freshness_sensitive,keyword_compressed,-0.66,1,1.0,0
freshness_sensitive,quoted_entities,-0.66,1,1.0,0
freshness_sensitive,site_or_domain_constrained,-0.66,1,1.0,0
freshness_sensitive+answer_shape_constrained,freshness_terms,0.7201,8,7.462,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,freshness_terms,0.2039,13,11.549,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,direct_question,-0.66,1,1.0,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,source_constrained,-0.66,1,1.0,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,exact_answer_shape,-0.72,1,1.0,0
generic,fetch,1.5173,12,10.764,0
generic,freshness_terms,0.8367,12,10.764,0
source_authority_sensitive,freshness_terms,1.0082,40,27.715,0
