signature_cluster,arm,mean_reward,count,w,failed_calls
answer_shape_constrained,stop_now,0.7692,40,27.715,0
answer_shape_constrained,search_more,0.6003,38,26.796,0
evidence_sparse,search_more,0.435,4,3.882,0
evidence_sparse,stop_now,0.435,4,3.882,0
freshness_sensitive,search_more,-0.0963,20,16.62,0
freshness_sensitive,stop_now,-0.0963,20,16.62,0
freshness_sensitive+answer_shape_constrained,stop_now,0.7001,8,7.462,0
freshness_sensitive+answer_shape_constrained,search_more,0.5059,8,7.462,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,search_more,0.0354,14,12.318,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,stop_now,-0.0276,16,13.81,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,contradiction_check,-0.6,1,1.0,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,corroborate,-0.6,1,1.0,0
generic,search_more,1.0173,12,10.764,0
generic,stop_now,1.0173,12,10.764,0
generic,fetch_page,0.9044,12,10.764,0
source_authority_sensitive,stop_now,1.0213,40,27.715,0
source_authority_sensitive,search_more,0.7943,39,27.26,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,contradiction_check,-0.6,1,1.0,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,corroborate,-0.6,1,1.0,0
generic,fetch_page,0.9044,12,10.764,0
