signature_cluster,arm,mean_reward,count,w,failed_calls
answer_shape_constrained,generic_web_search,1.2702,39,27.26,0
answer_shape_constrained,official_domain_search,0.7363,39,27.26,0
answer_shape_constrained,news_search,0.5234,38,26.796,0
answer_shape_constrained,brave_search,0.5234,38,26.796,0
evidence_sparse,brave_search,0.431,4,3.882,0
evidence_sparse,official_domain_search,0.131,4,3.882,0
evidence_sparse,generic_web_search,0.131,4,3.882,0
evidence_sparse,news_search,0.131,4,3.882,0
freshness_sensitive,news_search,0.2952,20,16.62,0
freshness_sensitive,brave_search,-0.1003,20,16.62,0
freshness_sensitive,generic_web_search,-0.1003,20,16.62,0
freshness_sensitive,official_domain_search,-0.1003,20,16.62,0
freshness_sensitive+answer_shape_constrained,generic_web_search,1.1961,8,7.462,0
freshness_sensitive+answer_shape_constrained,news_search,1.1961,8,7.462,0
freshness_sensitive+answer_shape_constrained,official_domain_search,0.3961,8,7.462,0
freshness_sensitive+answer_shape_constrained,brave_search,0.3961,8,7.462,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,news_search,0.3336,16,13.81,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,brave_search,-0.0316,16,13.81,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,generic_web_search,-0.0316,16,13.81,0
freshness_sensitive+answer_shape_constrained+query_fragile+staleness_prone,official_domain_search,-0.0316,16,13.81,0
generic,page_fetch,1.5153,12,10.764,0
generic,official_domain_search,1.0133,12,10.764,0
generic,news_search,0.79,7,6.594,0
generic,generic_web_search,0.7133,12,10.764,0
source_authority_sensitive,official_domain_search,1.5114,40,27.715,0
source_authority_sensitive,news_search,0.9877,39,27.26,0
source_authority_sensitive,brave_search,0.9877,39,27.26,0
source_authority_sensitive,generic_web_search,0.6877,39,27.26,0
